id,sensor1,sensor2,sensor3
388937,-0.05899015095075811,-0.042836533417678416,-0.03114729307993307
90665,-0.17915529427227603,-0.08394566228568029,-0.07754659325955908
62420,-0.27194992296363696,-0.1389042882680559,-0.12137735868233096
20018,-0.36352651303737726,-0.1826796265198201,-0.15822982479103517
57736,-0.47094924805156246,-0.23014983648848555,-0.20137396796013812
197840,-0.5144542531168632,-0.2610433030704734,-0.2624022654071719
60970,-0.5750600960182851,-0.2956743881151427,-0.3102817378796002
75774,-0.6885099769128743,-0.3461363660319275,-0.3511855870173668
104332,-0.6821307165007416,-0.38716619292432397,-0.4059354503299185
15738,-0.8511441115770122,-0.44234277728409643,-0.4508522516005336
164714,-0.8938833730477965,-0.47966058439843084,-0.4883931124717635
302085,-0.9794708784241893,-0.5273748826427321,-0.5224369898196506
377210,-1.1004297444650006,-0.5768790077374353,-0.5677670011864755
336873,-1.085580583285552,-0.6243691888435156,-0.6129227942200268
59199,-1.199705783456194,-0.6749796134777385,-0.6576334025721977
13892,-1.2147064167918078,-0.6719912790802691,-0.674964118880221
380329,-1.2536125650580894,-0.6810683424860957,-0.6727830639471384
373794,-1.2732620448354535,-0.663314162702526,-0.668384570600503
207932,-1.309680578100501,-0.6593570942553417,-0.6825671708321224
346165,-1.3134352874263893,-0.669404458937689,-0.6828456991346983
363772,-1.3603992123974002,-0.6927951227887946,-0.6573386643977936
349709,-1.3329928612027875,-0.7034700041046236,-0.6542557074321423
376640,-1.323456699744709,-0.69114449072731,-0.6598784016840143
341393,-1.4038475790651856,-0.6909407021391571,-0.6464734234287088
265319,-1.3321528874724344,-0.6875040524266965,-0.6433944833329918
367059,-1.2886502107212106,-0.7199072693695009,-0.6516801348837292
362199,-1.3176662806616142,-0.7133802867746682,-0.6633149530147698
68532,-1.2692830180645474,-0.706755174462903,-0.6592894274030277
272731,-1.2922823393312137,-0.7143536100701198,-0.655562388483716
76048,-1.2583913187583144,-0.71939761470416,-0.6586169532309458
336102,-1.2779974474064772,-0.7337317559291815,-0.6509071289555516
373861,-1.223013030122312,-0.7391867575452363,-0.646466284471217
78375,-1.1763445252789495,-0.760157675709885,-0.6494836298363784
64241,-1.1224576794135237,-0.7638835692496766,-0.6417124358930528
84632,-1.0319510638167888,-0.7407748425460647,-0.6455871842102195
27149,-0.9705838114398382,-0.7253843063851779,-0.6608526568025952
70413,-0.9410683001197484,-0.7440109271294896,-0.6601252900814412
5255,-0.9043920570437989,-0.7517283584889783,-0.6488456086880067
83198,-0.8355820318666063,-0.7442546633530852,-0.6275944307449156
176305,-0.8103031750683876,-0.7181946164421651,-0.6360425224483777
272404,-0.869358567538953,-0.67701064198477,-0.6272030620808432
1587,-0.7437887971160926,-0.6801890428707865,-0.628545978363769
348103,-0.7412880685840398,-0.685539257457335,-0.6261315973574824
307478,-0.7753336560460373,-0.6543527626689022,-0.62223231414988
17255,-0.7931710782823315,-0.6426485257885416,-0.6120250125056731
36636,-0.8129425897320995,-0.6415723226959578,-0.6200320753718314
383040,-0.7616829784355028,-0.6309291241368694,-0.6048074529690788
71402,-0.7683088578925521,-0.611901345109985,-0.6080954611902204
383390,-0.8055658718310408,-0.6160336892332692,-0.6027565491358035
82971,-0.8779294018347759,-0.6212355703238203,-0.6038953635020611
8757,-0.9877972162508206,-0.6373214144615537,-0.5978148637915319
133621,-1.0548409437465935,-0.6284766187193603,-0.5952883348494851
345597,-1.04504575148724,-0.6196143421082901,-0.6022992403882163
61376,-1.1539859642746118,-0.6385042852068766,-0.6253121507313744
258771,-1.1574916648969442,-0.6712800156329503,-0.6193090250827344
121257,-1.1784635675209685,-0.6890624737308498,-0.6233007874364171
364414,-1.3027907245159482,-0.6867975176295451,-0.6286412052041503
272502,-1.4638216942540911,-0.6939727002532582,-0.6346362685124951
12166,-1.5116932104130336,-0.7145175134458165,-0.640984798370009
71321,-1.4160316061428742,-0.7335610439624706,-0.642008856337394
352810,-1.3776485020580465,-0.7197873364321926,-0.6373104190833011
352804,-1.4141689457242126,-0.7175564386396779,-0.6480992425946498
123970,-1.3543272524442875,-0.7190872423201963,-0.6467012895686952
2627,-1.3036784773756487,-0.7272458573395092,-0.6531472737851087
373071,-1.3420759515183496,-0.7345790017655456,-0.6502401747899242
72240,-1.2936984492763897,-0.732772249018893,-0.6484006776199291
18328,-1.345045567979215,-0.725332702872369,-0.6455985732924474
343364,-1.3540686261352117,-0.7322678279761232,-0.6466845574946734
306626,-1.4192216552679577,-0.7360506536336184,-0.6476554863466566
200752,-1.4200257194086383,-0.7201427084013581,-0.6605553939523989
12636,-1.4550229498746416,-0.7220725309033064,-0.6621628715824098
389256,-1.436979868954296,-0.7278832180702063,-0.652384199159523
303748,-1.2967509161869986,-0.7176989418778231,-0.645687485010088
6620,-1.3708883545758346,-0.7235330346456391,-0.6471185361223605
209787,-1.4594133836927734,-0.7117417695630804,-0.6506149563611221
133313,-1.5504219018119132,-0.7289781593215452,-0.6527242874459536
348422,-1.4877986818425062,-0.7327306094375158,-0.6578220689391695
344677,-1.6014251202618612,-0.7418207929504886,-0.6574986950841705
198168,-1.6492903295651469,-0.7414065524596528,-0.6599504921880228
28750,-1.6240471604893743,-0.7376236116328968,-0.6618695036170584
116904,-1.6464760448647944,-0.7268443657380981,-0.6501376479830691
272735,-1.7188656307777488,-0.7338124749781302,-0.6551436037897662
170808,-1.8093380007802784,-0.7418789367610601,-0.6576640132117371
167632,-1.6807853195833906,-0.7222427844979211,-0.6527512390092998
364894,-1.7183602533867561,-0.7145745905521405,-0.6392317415032965
366371,-1.6699274955854524,-0.7161252177401268,-0.6309410792722042
5984,-1.6631188835691688,-0.7020767648480717,-0.6340967249058949
316839,-1.6775003353723217,-0.7112409376656808,-0.635002734355052
345389,-1.524765494209053,-0.7012336994309716,-0.6356401408890321
310767,-1.576450448766362,-0.7092343025690807,-0.6392701033414835
7858,-1.4557356599621887,-0.6953514324676164,-0.6315230454740062
177519,-1.5145702066440756,-0.6889937124229764,-0.6333911233847839
273532,-1.4434377578581008,-0.6845941446635503,-0.6334093012020591
1675,-1.4016509072644057,-0.6716276761684592,-0.6241324566896398
77618,-1.4326780798057501,-0.674519251835158,-0.6166041335647056
285740,-1.3825191510282187,-0.66768461928096,-0.6110154874067413
303301,-1.2513612936125282,-0.6496518292324857,-0.6074808463513507
70320,-1.1555469652018087,-0.6342128625040074,-0.5887579311595176
212293,-1.130499289134771,-0.6607505129391259,-0.5912002929244197
231058,-1.167103789031259,-0.6774683664925256,-0.5906737290698495
382393,-1.198090719603114,-0.6687291854908269,-0.5946347648453452
241806,-1.205985237771374,-0.6817556392922446,-0.5874454103510318
171905,-1.209832667284498,-0.67237735995076,-0.5869785095995337
395752,-1.2900857477413719,-0.6724823739756772,-0.587396487333404
31836,-1.198365670460228,-0.6587440908387133,-0.5786881074147809
144303,-1.2505815129645608,-0.6734233830186319,-0.5852194671289235
379121,-1.1712930817453964,-0.6735674892663025,-0.5822343536432516
25710,-1.22359784277417,-0.6738241426083951,-0.5671868634717259
347786,-1.2641166275572195,-0.6844756737620442,-0.5744736436124057
334143,-1.105300388415841,-0.6908679452922016,-0.5875980192950242
332744,-1.131683613844993,-0.7057350340833766,-0.6056240312063141
107762,-1.2088939105049696,-0.7243541654153494,-0.6099891962217356
369170,-1.2141597092600025,-0.7357097899282151,-0.6281227531293713
347896,-1.301763902701032,-0.7284080122728488,-0.630636987964272
189442,-1.202944204476262,-0.726174438832156,-0.6266513009783944
201985,-1.202398951651561,-0.7199960342971555,-0.6352910817842263
105390,-1.179518235086265,-0.7227902488586959,-0.642610128921597
338128,-1.1026469079292287,-0.7401138722816789,-0.6428093104924293
318246,-1.0141273401468984,-0.7274423921767831,-0.6520060599903519
164697,-1.0259093091096751,-0.7321602195131287,-0.6602085452092296
330032,-1.0346777621433956,-0.7235121480013145,-0.6567533188511765
227543,-1.0810914181151619,-0.7195062823926738,-0.6495134104660824
361298,-1.1035537756994567,-0.7277145084695786,-0.6644979496665637
366474,-1.0660355371548846,-0.7270330268780073,-0.6603770221771083
198195,-1.1855190659246164,-0.7078100029206166,-0.6594585197545428
17901,-1.2525925790348644,-0.7064893358617688,-0.6596758460921288
74026,-1.1873995341337704,-0.6938169260622428,-0.659173467534239
5360,-1.2894846786727343,-0.6999631023696602,-0.6592221409380299
64335,-1.2871813443809947,-0.6892499010658192,-0.6592752813851203
250022,-1.3080555342393163,-0.6942960662198996,-0.6598169548861552
145003,-1.291665397233098,-0.7056564575039478,-0.6620079182879623
164661,-1.2899544956294857,-0.70374055624483,-0.6625188995954918
352086,-1.239059160483315,-0.6832041936981051,-0.6776684318008634
