id,sensor1,sensor2,sensor3,sensor4
388937,-0.8983418125185929,-1.0621482732331167,-2.328449732188039,-1.124061393343278
90665,-1.4734974881846088,-3.2713610110464937,-2.6423092329061904,-1.126117834509613
62420,-1.5745397729798496,-1.6172391498546643,-2.0131462364731347,-1.5376656668289879
20018,-1.093860253334207,-1.9196741931526486,-2.369510119482518,-1.2987071102259333
57736,-1.4155765096398307,-2.196854840902795,-2.332346119929957,-1.3519081474924801
197840,-1.602608731004681,-1.2032125770268116,-1.2006487602146594,-0.5074508367453894
60970,-1.1923332253468528,-1.5916843905940947,-1.5077384495443449,-0.8006173944600155
75774,-1.3556912407958235,-2.4634906572237285,-2.2251739560397827,-1.5990745679551999
104332,-0.9185099289057423,-0.48264733787384856,-0.2696727230003806,-0.5754588415497933
15738,-1.870308828710362,-2.956857887399178,-3.058451693019231,-1.814558276948474
164714,-0.8346545922416094,-1.2437262267360076,-1.2355995165252716,-0.939887400074457
302085,-1.0423578305178574,-1.698922206660768,-2.2095627537630373,-1.4860618681948905
377210,-1.5623605390543829,-2.8715890764024268,-2.1900513907559147,-1.4587281573478361
336873,-0.711382141799803,-0.26041318387762014,-0.21521191039834794,-0.7029089996239144
59199,-1.5818753593285895,-2.196854840902795,-2.332346119929957,-1.4490247427624892
13892,-1.3400417753275669,-1.8831269010213676,-1.583164373707859,-0.9698426816684258
380329,-1.6552356216006614,-3.316375083427271,-3.521244303379506,-1.5347886449877655
373794,-1.1324694619044928,-3.017151398673691,-3.337232608008715,-1.1134608554564032
207932,-1.8195164546392102,-2.828502959487514,-3.365613869892294,-0.9946366561139763
346165,-1.768163716906558,-1.6394161186626142,-2.6910565770334727,-1.6967810353095776
363772,-1.178040384180985,-1.6737542185690772,-2.079626004236775,-1.8486438694362406
349709,-0.9977117517003801,-1.1749479616672405,-0.8071158227180266,-1.0441940979686641
376640,-1.3629670909427714,-2.895804186593209,-2.262743299486486,-1.0248106359830598
341393,-1.176445916806064,-1.4929109014886641,-2.1074291354645007,-1.0279512025368673
265319,-1.4327720993443234,-1.7327867046539502,-2.2549436048142466,-1.4723839989834138
367059,-1.1196220585103245,-0.279428348864721,-0.40147049576648575,-1.2382981991224216
362199,-1.4375118675135266,-2.7265541209255186,-2.644336324553581,-1.1213225626717704
68532,-1.1588541666048682,-1.5916843905940947,-1.8009147478551466,-1.1181370432514814
272731,-0.8238736755980496,-0.6872283412941217,-0.4196767156827455,-1.1962050352053117
76048,-1.6428470576785175,-1.6915962885021643,-1.4615122576832225,-1.50107373275759
336102,-1.3657595492007857,-1.8157243234916673,-1.9068302437518958,-1.6780749341060113
373861,-1.4188126808793384,-1.7899817360104355,-2.2897799249952744,-1.8052186292960068
78375,-1.5319847193966438,-1.0010777703271674,-1.8685416563381818,-1.4165744632245192
64241,-1.2460163461324392,-1.5916843905940947,-1.8009147478551466,-1.1046829347047016
84632,-0.8866871065306644,-0.9846658845828024,-0.7273389569418275,-0.6840237723886129
27149,-1.1389998725145705,-0.9733856408997714,-0.893883598259783,-0.7321741777960721
70413,-0.9688974867829938,-0.49627366268075984,-0.3696410414525509,-1.2968955522482026
5255,-1.0467394286584968,-1.2302443934425926,-2.1420672707702737,-1.2159743386073654
83198,-0.3100922974287937,-0.562486341031034,-0.8109916684723592,-0.8359266851413404
176305,-1.1609216272480898,-2.5154706115379946,-1.6610712935624479,-0.6550236570842164
272404,-0.8018264658929104,-1.7051618781486877,-1.6768370163235995,-0.8096979445501706
1587,-0.7986241102837344,-0.2618273563714193,-0.339907238568749,-0.6125608743643409
348103,-1.1733287666313432,-1.3357332491460012,-1.881762114207928,-1.2700988669988136
307478,-0.7047256284382777,-1.4280491854605042,-1.3673590835371168,-0.6550593055685211
17255,-1.133976927535983,-2.0599255806784487,-2.5113222894732226,-1.31397392947057
36636,-1.910197338198905,-2.2796458145464737,-1.9886878412012627,-1.4753246314842294
383040,-0.643106519356026,-1.3863157052475572,-1.4358747636136076,-1.5217034491434547
71402,-1.2700262750142908,-1.6172391498546643,-1.8263367208864032,-0.9436343873550667
383390,-1.2328444057605128,-2.1718317905700664,-2.8112846196351016,-1.4854390623701594
82971,-1.4636858850703642,-2.1360476864294164,-2.100418218082422,-0.9875175025619968
8757,-1.812650588819585,-2.277806686799013,-2.853470905346603,-1.6978758546136523
133621,-1.3587420899020295,-1.3006573306122864,-1.6664596680684003,-1.47896763312878
345597,-1.0736205874458562,-1.3182328011890074,-1.68352898167468,-0.8743472745078649
61376,-1.5182775618424678,-2.196854840902795,-2.2788465778926823,-1.5790642032682927
258771,-1.6044576176967698,-1.2795197290471498,-1.7194718096224881,-1.5496500694297353
121257,-1.1567049369764384,-2.0081773124415965,-1.584880498124959,-1.338551895874303
364414,-2.001449552167752,-2.2078186559371447,-2.6957700591388174,-0.9998602584327241
272502,-1.946322753236093,-3.639731412500001,-3.971818424869664,-1.8795718196641966
12166,-1.4475264790093523,-1.502313131933446,-2.969422386478896,-1.0896341636685913
71321,-0.8056249086457721,-0.49627366268075984,-0.3696410414525509,-1.3896135095065465
352810,-1.1438404160491797,-2.1574484298117356,-1.5457488581063776,-1.0596273142297465
352804,-1.0123132754872257,-2.04865812835224,-2.201656501309505,-1.3182504561400386
123970,-0.7949796609466427,-0.8626677253065896,-0.5354523181596951,-0.8309671435060092
2627,-1.255815061819469,-1.680130644220807,-1.0375563178815037,-1.6391103512256315
373071,-1.633661989301872,-2.4775379938941513,-3.2810827137602563,-1.304323481127357
72240,-1.427752164086023,-1.7939194427013887,-1.8263367208864032,-1.5423180124844238
18328,-1.2674200483246383,-2.6066282033893544,-2.835730902189288,-1.5228800651482322
343364,-1.2252327986795888,-1.4326778056446519,-1.666775104678809,-1.0782128275706413
306626,-1.8153851811617834,-3.36369869514172,-3.0047342361908465,-1.999958559375217
200752,-1.7603997151118427,-2.5156884331772633,-1.2357580417592249,-0.9844948321064079
12636,-1.3878101727661805,-2.681438666610002,-2.216290613554127,-1.4584870995145522
389256,-1.398842111455397,-1.7559276946470128,-2.343981285267527,-1.2976916563623275
303748,-1.183787027694482,-1.698922206660768,-2.581644129058606,-1.2743067150699048
