id,sensor1,sensor2
388937,-0.8848522642613716,-0.6425480012651762
90665,-1.8024771498227687,-0.6166369330200281
62420,-1.3919194303704143,-0.8243793897356341
20018,-1.373648851106105,-0.6566300737764628
57736,-1.611341025212778,-0.712053149529982
197840,-0.6525750759795118,-0.46340199872981763
60970,-0.9090876435213284,-0.5194662756700387
75774,-1.7017482134188384,-0.7569296687517724
104332,0.09568890618199022,-0.6154474033859468
15738,-2.5352009261440576,-0.8276487653965869
164714,-0.6410889220617657,-0.5597671067150163
302085,-1.2838125806458922,-0.7157144736645197
377210,-1.8143829906121698,-0.742561876420547
336873,0.2227374176917271,-0.7123527165912035
59199,-1.711878002559627,-0.7591563695133438
13892,-1.1098617642955821,-0.5977229853031366
380329,-2.386069373816989,-0.7527928841074278
373794,-1.6866616270308772,-0.5580666929820882
207932,-1.919926850081815,-0.5972740470686986
346165,-1.6676616651011038,-0.86276361976519
363772,-1.3570339505446753,-0.8142619564964023
349709,-0.49799237560213716,-0.6795894954074733
376640,-1.5587057915476599,-0.5720469680920699
341393,-1.1101742836251594,-0.6123905745636539
265319,-1.459780552252789,-0.7760990197096787
367059,0.011451229206591538,-1.0458153608570828
362199,-1.7190536297519465,-0.6178097347420279
68532,-1.088634051656165,-0.6431851917440684
272731,-0.12225240130827011,-0.8263292506994533
76048,-1.2035126939661391,-0.8348164390239476
336102,-1.4039536940180237,-0.8127351036784599
373861,-1.5613031145545095,-0.8346179083482511
78375,-0.9866340543804418,-0.8726304654518193
64241,-1.111624162100428,-0.6531624501655713
84632,-0.3100624311500781,-0.5161327192110107
27149,-0.43652516489041576,-0.5834039140831012
70413,-0.05525970580079081,-0.958988806572148
5255,-1.0085621454084182,-0.6878084384844014
83198,-0.07802390596726912,-0.5002851475252568
176305,-1.0805977002795093,-0.3851983160458767
272404,-0.8743796578518911,-0.4280557439961584
1587,0.16449292659095888,-0.6654857480322763
348103,-1.051123123675372,-0.723438410542295
307478,-0.6329362132382331,-0.3585318288729597
17255,-1.4710740275105505,-0.6592528858185375
36636,-1.7005263657645464,-0.7965920572897014
383040,-0.7924089451055575,-0.674969929961926
71402,-1.08602224623618,-0.5872137800485546
383390,-1.6704793711777586,-0.7151476120148342
82971,-1.3955153812061045,-0.5941609355692771
