id,sensor1,sensor2,sensor3
388937,0.01758942446413253,0.037829732008397524,0.05105535702607444
90665,0.022462217875950086,0.07794289530401119,0.08085617898781455
62420,0.031501188008815434,0.10026659936992018,0.11420726899133257
20018,0.04077528003781408,0.13686225212998462,0.1572670709384159
57736,0.047339397417066574,0.16865097597157036,0.19156950441732595
197840,0.07053488727305957,0.22257288138190554,0.20150167928654394
60970,0.08760788096466136,0.2713856983989956,0.22926311414099185
75774,0.09332292755501062,0.2993451849965269,0.26667581822950664
104332,0.1448102540422497,0.3395635630358984,0.28504553441691066
15738,0.14603550694970918,0.3616180939277897,0.31689380557294233
164714,0.16954107454281364,0.4067977546801771,0.35899215955050734
302085,0.18004235996644022,0.43827186907462223,0.40598216362344697
377210,0.18482239120941849,0.4674508381241741,0.43725928738617237
336873,0.2430702472348364,0.4992138066328215,0.4687771756043595
59199,0.24869579744630224,0.5269848660266574,0.5009105839505213
13892,0.24434655382074583,0.5309451718873558,0.4767934437085247
380329,0.24116346287404947,0.5191419635887813,0.4798072556621767
373794,0.23797488769182934,0.5421505179170871,0.4859168507642697
207932,0.232717119207349,0.5473848057543875,0.46628843135879927
346165,0.23217740582177976,0.5347851666639437,0.4659024071798188
363772,0.21847398176851765,0.5040224103475242,0.5008913669912206
349709,0.2290531411883574,0.48980403288807617,0.5051445316974102
376640,0.23044018076292233,0.5059240622214872,0.4973571386822342
341393,0.19218765487288933,0.5061945939919392,0.515787088405616
265319,0.1991688402759524,0.5104825132457038,0.5200536677442693
367059,0.2230239682713212,0.47056248707817927,0.5085466416839353
362199,0.21808550207222246,0.47909783360239605,0.4923520836886761
68532,0.22691517257500346,0.4876926497503785,0.49793076605371644
272731,0.21002252338701258,0.4780928027496848,0.5030960060015253
76048,0.21610045176948905,0.47178753199091894,0.49888133482776875
336102,0.21174695653218067,0.45328304139422315,0.5095444649831831
373861,0.2171320089453165,0.4464551562059451,0.5157098649859181
78375,0.22678236710163374,0.41951567187375655,0.5115148389520918
64241,0.23597590608603816,0.41458480705935025,0.5222199335232658
84632,0.2639106761738232,0.44451057476251066,0.5168663156224307
27149,0.28402114343061,0.46441643861769044,0.49571638030453147
70413,0.3006522727024818,0.4414373634808623,0.49672279926335094
